epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,638.57,1.3273,1.93393,1.29447,0.20654,0.19277,0.09976,0.02835,2.66465,3.68846,2.40735,0.000663805,0.000663805,0.000663805
2,1239.7,1.36694,1.53894,1.2916,0.40169,0.47791,0.35081,0.12326,2.12593,2.57734,1.8593,0.00126461,0.00126461,0.00126461
3,1840.83,1.33498,1.37939,1.28764,0.63403,0.59036,0.55767,0.27328,1.73216,1.81515,1.55729,0.00179942,0.00179942,0.00179942
4,2440,1.26924,1.28183,1.25641,0.62117,0.62651,0.55986,0.27783,1.59418,1.66627,1.45065,0.001703,0.001703,0.001703
5,3024.88,1.2069,1.21763,1.23294,0.72134,0.63052,0.62572,0.32931,1.50711,1.57152,1.3042,0.001604,0.001604,0.001604
6,3633.3,1.16236,1.17155,1.20555,0.70325,0.65462,0.64497,0.36639,1.47202,1.64938,1.36942,0.001505,0.001505,0.001505
7,4332.9,1.11442,1.10299,1.18602,0.73728,0.71002,0.70419,0.39194,1.43447,1.43839,1.30324,0.001406,0.001406,0.001406
8,4970.88,1.07754,1.05752,1.17031,0.77784,0.66667,0.70773,0.43641,1.31682,1.34894,1.25857,0.001307,0.001307,0.001307
9,5587.98,1.0541,1.04019,1.15929,0.76468,0.67862,0.70318,0.4313,1.36678,1.30032,1.26062,0.001208,0.001208,0.001208
10,6201,1.03128,0.98633,1.14912,0.76866,0.6939,0.69436,0.44292,1.2958,1.28243,1.19188,0.001109,0.001109,0.001109
11,6814.72,1.05028,1.11218,1.2921,0.78473,0.72289,0.72188,0.47066,1.22317,1.18675,1.18183,0.00101,0.00101,0.00101
12,7412.57,1.01044,1.06154,1.27231,0.76869,0.74739,0.75413,0.49598,1.20506,1.22416,1.15371,0.000911,0.000911,0.000911
13,8017.25,0.97572,1.02,1.25464,0.81027,0.72289,0.75028,0.51357,1.19762,1.17083,1.14894,0.000812,0.000812,0.000812
14,8622.41,0.91943,0.97075,1.21562,0.84321,0.71888,0.77513,0.54392,1.15192,1.09506,1.09995,0.000713,0.000713,0.000713
15,9224.39,0.90815,0.9312,1.20713,0.86675,0.70683,0.81309,0.57736,1.076,1.03633,1.05512,0.000614,0.000614,0.000614
16,9816.5,0.85878,0.89136,1.17867,0.78643,0.76898,0.80271,0.58049,1.04126,1.0412,1.05505,0.000515,0.000515,0.000515
17,10373.3,0.81957,0.84859,1.15466,0.8117,0.75904,0.80647,0.59398,0.97907,0.99577,1.01878,0.000416,0.000416,0.000416
18,10926.4,0.79778,0.81839,1.14545,0.83447,0.76305,0.82139,0.60944,0.99187,0.95403,0.99427,0.000317,0.000317,0.000317
19,11479.7,0.77805,0.79122,1.13558,0.89937,0.71783,0.8191,0.60086,0.96912,0.95382,0.9929,0.000218,0.000218,0.000218
20,12029.6,0.75086,0.7734,1.12749,0.85271,0.73092,0.82993,0.61993,0.92901,0.90373,0.96976,0.000119,0.000119,0.000119
