epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.488,2.13653,3.2968,1.95432,0.74162,0.06704,0.17411,0.0719,2.13748,3.69852,1.93022,0.000409357,0.000409357,0.000409357
2,398.533,2.00589,2.54492,1.85055,0.31659,0.26526,0.23125,0.08817,2.27073,3.06713,2.06974,0.000785135,0.000785135,0.000785135
3,606.367,2.02368,2.45715,1.83932,0.28482,0.29018,0.20601,0.08048,2.26079,3.26432,2.05563,0.00111966,0.00111966,0.00111966
4,798.243,1.98248,2.38347,1.8636,0.31056,0.33315,0.23625,0.06441,2.47856,2.82741,2.2565,0.00106437,0.00106437,0.00106437
5,977.915,1.9535,2.27298,1.8206,0.34464,0.27144,0.24072,0.09262,2.37132,2.97817,2.21703,0.0010025,0.0010025,0.0010025
6,1171.6,1.92155,2.15593,1.77362,0.32258,0.36986,0.29179,0.11027,2.21891,2.76901,2.01115,0.000940625,0.000940625,0.000940625
7,1361.26,1.90931,2.12909,1.77928,0.33764,0.36574,0.30101,0.1299,2.28733,2.52681,2.10352,0.00087875,0.00087875,0.00087875
8,1539.59,1.90752,2.11853,1.79308,0.35987,0.41297,0.34364,0.13291,2.20733,2.44125,2.01718,0.000816875,0.000816875,0.000816875
9,1720.15,1.87118,1.99193,1.74061,0.34283,0.43297,0.34282,0.13526,2.16,2.31686,2.01,0.000755,0.000755,0.000755
10,1907.22,1.84643,1.93485,1.70341,0.43548,0.4652,0.42142,0.14996,2.2229,2.14646,1.97399,0.000693125,0.000693125,0.000693125
11,2102.74,1.83197,2.02508,1.7743,0.46062,0.44305,0.40485,0.15658,2.19412,2.28236,1.96347,0.00063125,0.00063125,0.00063125
12,2294.01,1.82214,1.90313,1.75258,0.48322,0.48605,0.45475,0.20311,2.09182,2.05507,1.84098,0.000569375,0.000569375,0.000569375
13,2470.78,1.81012,1.86437,1.74058,0.41529,0.48675,0.45805,0.19048,2.12836,2.05487,1.90532,0.0005075,0.0005075,0.0005075
14,2649.92,1.77199,1.80515,1.70193,0.40567,0.48383,0.40521,0.16774,2.18274,2.11683,1.95843,0.000445625,0.000445625,0.000445625
15,2830.32,1.73467,1.74483,1.68485,0.50366,0.48059,0.46211,0.19214,2.18145,2.02397,1.94406,0.00038375,0.00038375,0.00038375
16,3029.14,1.74757,1.70554,1.66711,0.46143,0.51311,0.50344,0.22985,2.06438,1.93862,1.82821,0.000321875,0.000321875,0.000321875
17,3237.59,1.70578,1.66002,1.6486,0.48434,0.51049,0.45193,0.19711,2.13459,2.01686,1.90072,0.00026,0.00026,0.00026
18,3421.52,1.68689,1.60796,1.6383,0.48018,0.54606,0.49625,0.22119,2.09424,1.92459,1.86059,0.000198125,0.000198125,0.000198125
19,3601.61,1.6654,1.53969,1.60819,0.56084,0.46793,0.50591,0.22034,2.1186,1.88122,1.86788,0.00013625,0.00013625,0.00013625
20,3787.14,1.63157,1.49957,1.58967,0.48191,0.56153,0.50897,0.22909,2.10968,1.84632,1.85452,7.4375e-05,7.4375e-05,7.4375e-05
