epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.992,2.49415,3.24779,1.97186,0.0195,0.63415,0.04129,0.01262,2.23522,3.32645,1.79663,0.00026,0.00026,0.00026
2,96.0644,2.40894,2.31013,1.80607,0.02433,0.79133,0.15301,0.04307,2.16518,2.9434,1.56141,0.000526635,0.000526635,0.000526635
3,150.974,2.28764,2.19301,1.77572,0.02058,0.66938,0.10458,0.03098,2.1942,2.89502,1.7546,0.00077941,0.00077941,0.00077941
4,198.397,2.23475,2.16131,1.77154,0.17154,0.44173,0.16917,0.04963,2.28962,2.57545,1.86103,0.00101833,0.00101833,0.00101833
5,245.396,2.25271,2.14483,1.81294,0.22163,0.14634,0.08236,0.0248,2.39739,2.75075,2.13344,0.00124338,0.00124338,0.00124338
6,294.425,2.25063,2.09776,1.81692,0.34102,0.30894,0.22089,0.07081,2.27047,2.33515,1.85655,0.00145457,0.00145457,0.00145457
7,343.556,2.2157,2.05083,1.79035,0.27794,0.3119,0.18701,0.05713,2.336,2.31454,1.89968,0.00165191,0.00165191,0.00165191
8,395.784,2.19479,2.04306,1.79071,0.32164,0.24119,0.21951,0.06275,2.51645,2.35775,1.92734,0.0016535,0.0016535,0.0016535
9,445.784,2.22459,1.97382,1.76963,0.39298,0.31707,0.29802,0.08622,2.46363,2.11002,1.97969,0.001604,0.001604,0.001604
10,499.099,2.17131,1.92334,1.74969,0.31864,0.34146,0.24733,0.07845,2.43271,2.18217,1.85735,0.0015545,0.0015545,0.0015545
11,551.369,2.14731,1.93134,1.73431,0.35959,0.31978,0.26009,0.08384,2.46829,2.22745,1.90309,0.001505,0.001505,0.001505
12,600.664,2.17073,1.84588,1.71078,0.382,0.35501,0.2997,0.09126,2.46806,2.05508,1.85427,0.0014555,0.0014555,0.0014555
13,649.066,2.13726,1.87134,1.6948,0.40815,0.42547,0.33976,0.1131,2.33652,1.97227,1.76084,0.001406,0.001406,0.001406
14,697.422,2.08794,1.82035,1.7125,0.39931,0.42276,0.33684,0.11262,2.32776,2.04976,1.82889,0.0013565,0.0013565,0.0013565
15,747.412,2.08199,1.83308,1.66653,0.4085,0.34688,0.31753,0.10853,2.29553,2.13455,1.80498,0.001307,0.001307,0.001307
