epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.516,1.56054,2.92694,1.47821,0.8851,0.06071,0.27587,0.12929,1.6883,3.2762,1.57907,0.000648148,0.000648148,0.000648148
2,214.985,1.52408,1.91884,1.40813,0.18681,0.09843,0.06522,0.01721,2.3767,3.72018,2.34175,0.00128878,0.00128878,0.00128878
3,317.859,1.59923,1.92546,1.50185,0.40533,0.32677,0.31247,0.14203,1.94469,2.71517,1.94746,0.00190301,0.00190301,0.00190301
4,420.867,1.58114,1.76852,1.42369,0.34294,0.31496,0.26158,0.13542,1.94884,2.75547,2.0894,0.0018812,0.0018812,0.0018812
5,523.496,1.52341,1.6835,1.40099,0.46551,0.45669,0.39999,0.2062,1.65695,2.68768,1.65147,0.0018416,0.0018416,0.0018416
6,634.168,1.5288,1.64725,1.42779,0.54444,0.47638,0.50215,0.2648,1.54111,2.01713,1.5436,0.001802,0.001802,0.001802
7,745.976,1.52926,1.58842,1.4106,0.54295,0.41158,0.41814,0.20045,1.77517,2.16262,1.61842,0.0017624,0.0017624,0.0017624
8,887.887,1.47224,1.49837,1.39493,0.61172,0.58925,0.56411,0.32013,1.44757,1.66547,1.40241,0.0017228,0.0017228,0.0017228
9,1013.84,1.42171,1.50747,1.38432,0.5197,0.55512,0.53403,0.29782,1.46527,1.82856,1.44769,0.0016832,0.0016832,0.0016832
10,1129.38,1.45911,1.49629,1.37893,0.68053,0.57087,0.5957,0.32988,1.51468,1.57152,1.48071,0.0016436,0.0016436,0.0016436
11,1228.98,1.46067,1.3934,1.37369,0.61375,0.6378,0.62817,0.34633,1.48243,1.61336,1.45014,0.001604,0.001604,0.001604
12,1326.75,1.37707,1.30948,1.3331,0.61718,0.56693,0.62034,0.37074,1.38018,1.53511,1.37189,0.0015644,0.0015644,0.0015644
13,1427.13,1.36583,1.2985,1.31229,0.72329,0.56693,0.65117,0.3626,1.48094,1.56916,1.41719,0.0015248,0.0015248,0.0015248
14,1525.12,1.38131,1.23545,1.30898,0.75201,0.63275,0.71268,0.40922,1.38651,1.34631,1.37713,0.0014852,0.0014852,0.0014852
15,1624.15,1.36339,1.27518,1.33026,0.73671,0.61692,0.68104,0.39152,1.42388,1.43276,1.41302,0.0014456,0.0014456,0.0014456
16,1723.51,1.34574,1.22513,1.2837,0.6515,0.62205,0.66924,0.3851,1.41135,1.45931,1.36048,0.001406,0.001406,0.001406
17,1824.48,1.28076,1.15433,1.28259,0.70783,0.68898,0.71417,0.40938,1.40583,1.3232,1.38144,0.0013664,0.0013664,0.0013664
18,1928.34,1.34772,1.17273,1.32438,0.73753,0.64173,0.68909,0.40455,1.4626,1.33518,1.38188,0.0013268,0.0013268,0.0013268
19,2028.87,1.32367,1.19777,1.29487,0.63615,0.69522,0.6865,0.40307,1.40239,1.34569,1.37001,0.0012872,0.0012872,0.0012872
20,2127.73,1.29311,1.1356,1.27898,0.71604,0.57874,0.69808,0.3981,1.43873,1.36679,1.40007,0.0012476,0.0012476,0.0012476
21,2229.89,1.30691,1.10912,1.27456,0.72003,0.64173,0.69913,0.38637,1.41035,1.22716,1.36091,0.001208,0.001208,0.001208
22,2330.44,1.27553,1.10824,1.25321,0.73233,0.66142,0.73637,0.4384,1.29965,1.20408,1.3017,0.0011684,0.0011684,0.0011684
23,2432.28,1.26214,1.05185,1.25667,0.73196,0.68898,0.76282,0.46311,1.29095,1.15426,1.29872,0.0011288,0.0011288,0.0011288
24,2543.89,1.25947,1.05235,1.24062,0.73324,0.72506,0.75426,0.45777,1.23237,1.25139,1.25686,0.0010892,0.0010892,0.0010892
25,2651.23,1.21484,1.03804,1.22041,0.67304,0.71654,0.72587,0.41694,1.3788,1.29863,1.3418,0.0010496,0.0010496,0.0010496
26,2749.46,1.2207,1.00331,1.21782,0.68386,0.65748,0.70189,0.41919,1.36526,1.28744,1.34332,0.00101,0.00101,0.00101
27,2850.32,1.21181,1.00974,1.22316,0.72988,0.66142,0.69125,0.40408,1.35759,1.32438,1.35664,0.0009704,0.0009704,0.0009704
28,2950.67,1.2107,0.9631,1.23913,0.80215,0.65446,0.75388,0.43719,1.35495,1.17917,1.33395,0.0009308,0.0009308,0.0009308
29,3051.8,1.24637,0.99277,1.24772,0.72264,0.6975,0.75855,0.44684,1.31484,1.13535,1.32286,0.0008912,0.0008912,0.0008912
30,3148.76,1.16799,1.00495,1.20877,0.77212,0.61024,0.72208,0.43691,1.3425,1.13506,1.35653,0.0008516,0.0008516,0.0008516
31,3245.43,1.18761,0.96171,1.21778,0.74425,0.64158,0.70487,0.41535,1.40581,1.21761,1.42617,0.000812,0.000812,0.000812
32,3341.84,1.16326,0.9477,1.19027,0.75436,0.70125,0.75638,0.44845,1.39057,1.09342,1.36732,0.0007724,0.0007724,0.0007724
33,3441.03,1.15845,0.91892,1.19171,0.76417,0.71654,0.7878,0.48588,1.32415,1.05973,1.32035,0.0007328,0.0007328,0.0007328
34,3539.79,1.13036,0.88932,1.17508,0.73428,0.69629,0.75462,0.44812,1.36972,1.19955,1.36074,0.0006932,0.0006932,0.0006932
35,3636.39,1.15558,0.88097,1.19079,0.83477,0.65748,0.7645,0.45993,1.33583,1.11724,1.3507,0.0006536,0.0006536,0.0006536
36,3732.82,1.113,0.8685,1.17128,0.81673,0.6811,0.78627,0.48778,1.27583,1.04127,1.30001,0.000614,0.000614,0.000614
37,3830.15,1.06324,0.8287,1.1383,0.77967,0.67323,0.75616,0.47269,1.30732,1.05116,1.30167,0.0005744,0.0005744,0.0005744
38,3927.61,1.07889,0.88289,1.1384,0.77749,0.66535,0.76016,0.47037,1.32984,1.0783,1.33601,0.0005348,0.0005348,0.0005348
39,4025.06,1.07601,0.81209,1.13819,0.79877,0.68763,0.77969,0.48678,1.32922,1.03893,1.35826,0.0004952,0.0004952,0.0004952
40,4122.23,1.04694,0.80856,1.13001,0.76437,0.72796,0.7811,0.49231,1.28545,1.05064,1.30893,0.0004556,0.0004556,0.0004556
41,4218.02,1.04102,0.89282,1.11056,0.76841,0.67926,0.76097,0.47919,1.28388,1.13506,1.30442,0.000416,0.000416,0.000416
42,4313.43,0.98839,0.74156,1.07504,0.74862,0.75984,0.78606,0.48688,1.31035,1.06037,1.32432,0.0003764,0.0003764,0.0003764
43,4408.95,0.97304,0.75539,1.06362,0.76705,0.70866,0.77871,0.48096,1.32949,1.01666,1.36527,0.0003368,0.0003368,0.0003368
44,4504.89,0.98046,0.70167,1.07951,0.78229,0.72047,0.79153,0.49963,1.29814,1.0044,1.32773,0.0002972,0.0002972,0.0002972
45,4600.11,0.93018,0.66548,1.05367,0.81602,0.70079,0.79547,0.50212,1.28443,1.00288,1.29792,0.0002576,0.0002576,0.0002576
46,4694.03,0.97555,0.6928,1.07704,0.80031,0.70079,0.78105,0.48613,1.32031,1.00625,1.32219,0.000218,0.000218,0.000218
47,4787.24,0.91565,0.70621,1.05899,0.79585,0.70079,0.77585,0.49617,1.30977,1.00268,1.33107,0.0001784,0.0001784,0.0001784
48,4881.29,0.90487,0.62838,1.03402,0.81159,0.67323,0.77317,0.49006,1.30198,1.00601,1.3167,0.0001388,0.0001388,0.0001388
49,4974.48,0.88104,0.62544,1.03232,0.82603,0.69291,0.79074,0.50145,1.26914,0.98572,1.30658,9.92e-05,9.92e-05,9.92e-05
50,5066.97,0.89056,0.64547,1.03327,0.81368,0.68504,0.787,0.50242,1.27441,0.98394,1.31288,5.96e-05,5.96e-05,5.96e-05
