epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.5232,1.42482,2.20086,1.6391,0.01332,0.73333,0.42434,0.24553,1.34637,2.96083,1.80963,0.00042,0.00042,0.00042
2,141.162,1.38362,1.68202,1.58704,0.73788,0.43333,0.54659,0.30778,1.54404,2.59285,2.02281,0.00084581,0.00084581,0.00084581
3,212.38,1.46271,1.62979,1.5906,0.33435,0.29023,0.21529,0.06936,2.53338,3.27826,3.4926,0.0012571,0.0012571,0.0012571
4,287.102,1.44651,1.65937,1.63526,0.38749,0.21111,0.20004,0.09231,2.40707,3.43028,3.3823,0.00165387,0.00165387,0.00165387
5,376.915,1.49309,1.57747,1.66278,0.30022,0.38889,0.26692,0.13213,1.99172,3.37254,2.59035,0.001868,0.001868,0.001868
6,454.23,1.4652,1.45358,1.61965,0.51954,0.31111,0.34595,0.15625,2.0549,3.13387,2.65517,0.001835,0.001835,0.001835
7,525.245,1.46558,1.42505,1.63762,0.71663,0.37778,0.48333,0.22704,1.94209,2.27292,2.34379,0.001802,0.001802,0.001802
8,595.398,1.48557,1.40511,1.65409,0.50241,0.46667,0.43275,0.17835,2.18957,2.81504,2.71949,0.001769,0.001769,0.001769
9,662.163,1.48541,1.36448,1.62422,0.51475,0.4,0.37318,0.15129,2.05812,3.07531,2.35947,0.001736,0.001736,0.001736
10,728.362,1.40186,1.32399,1.57092,0.73095,0.48889,0.50753,0.2682,1.70083,1.86958,2.15759,0.001703,0.001703,0.001703
11,798.081,1.42844,1.29946,1.57775,0.70752,0.57778,0.63194,0.36763,1.61699,1.89749,1.94701,0.00167,0.00167,0.00167
12,864.576,1.42357,1.24244,1.58248,0.64264,0.5595,0.57934,0.3079,1.6973,1.67629,2.05484,0.001637,0.001637,0.001637
13,929.327,1.33365,1.15294,1.52745,0.81125,0.53333,0.65237,0.3575,1.63044,1.9213,1.98765,0.001604,0.001604,0.001604
14,996.54,1.36512,1.13253,1.5283,0.83104,0.38889,0.46074,0.22456,1.92833,2.00223,2.37767,0.001571,0.001571,0.001571
15,1064.11,1.32379,1.11277,1.51872,0.76926,0.62975,0.69273,0.40315,1.62712,1.48375,1.94124,0.001538,0.001538,0.001538
16,1131.68,1.36925,1.13823,1.55359,0.67561,0.65556,0.69329,0.38392,1.59815,1.44203,1.9112,0.001505,0.001505,0.001505
17,1203.58,1.3032,1.06413,1.50108,0.85464,0.61111,0.74372,0.44534,1.50798,1.47186,1.80864,0.001472,0.001472,0.001472
18,1271.36,1.31289,1.09203,1.51843,0.80535,0.59766,0.6846,0.41021,1.61657,1.3741,1.90406,0.001439,0.001439,0.001439
19,1337.7,1.31985,1.12075,1.54826,0.83088,0.65509,0.76118,0.46361,1.40096,1.18386,1.71827,0.001406,0.001406,0.001406
20,1406.71,1.29858,1.04965,1.45238,0.81532,0.58865,0.66082,0.42127,1.41283,1.29529,1.75878,0.001373,0.001373,0.001373
21,1470.52,1.28361,1.01656,1.45876,0.8576,0.67778,0.75113,0.47163,1.43723,1.19709,1.75636,0.00134,0.00134,0.00134
22,1538.33,1.24967,0.9778,1.45592,0.81852,0.64444,0.74645,0.45171,1.52837,1.21908,1.89198,0.001307,0.001307,0.001307
23,1609.9,1.28779,0.97296,1.47017,0.68065,0.59208,0.65347,0.35084,1.72255,1.4275,2.10931,0.001274,0.001274,0.001274
